[9, 14, 19, 21, 32, 36]
[9, 14, 19, 21, 32, 45]
[9, 14, 19, 21, 32, 47]
[9, 14, 19, 21, 36, 45]
[9, 14, 19, 21, 36, 47]
[9, 14, 19, 32, 36, 45]
[9, 14, 19, 32, 36, 47]
[9, 14, 19, 32, 45, 47]
[9, 14, 19, 36, 45, 47]
[9, 14, 21, 32, 36, 45]
[9, 14, 21, 32, 36, 47]
[9, 14, 21, 32, 45, 47]
[9, 14, 21, 36, 45, 47]
[9, 14, 32, 36, 45, 47]
[9, 19, 21, 32, 36, 45]
[9, 19, 21, 32, 36, 47]
[9, 19, 32, 36, 45, 47]
[9, 21, 32, 36, 45, 47]
[14, 19, 21, 32, 36, 45]
[14, 19, 21, 32, 36, 47]
[14, 19, 21, 32, 45, 47]
[14, 19, 21, 36, 45, 47]
[14, 19, 32, 36, 45, 47]
[14, 21, 32, 36, 45, 47]
[19, 21, 32, 36, 45, 47]
